"member_casual","month_name","day_of_week","rides_by_month_membership"
casual,August,1,414
casual,August,2,334
casual,August,3,277
casual,August,4,247
casual,August,5,236
casual,August,6,303
casual,August,7,332
casual,December,1,451
casual,December,2,324
casual,December,3,391
casual,December,4,418
casual,December,5,454
casual,December,6,321
casual,December,7,393
casual,February,1,24
casual,February,2,10
casual,February,3,19
casual,February,4,18
casual,February,5,14
casual,February,6,37
casual,February,7,51
casual,January,1,34
casual,January,2,48
casual,January,3,15
casual,January,4,28
casual,January,5,35
casual,January,6,38
casual,January,7,66
casual,July,1,848
casual,July,2,506
casual,July,3,498
casual,July,4,603
casual,July,5,741
casual,July,6,930
casual,July,7,1021
casual,June,1,869
casual,June,2,393
casual,June,3,520
casual,June,4,432
casual,June,5,561
casual,June,6,464
casual,June,7,846
casual,March,1,22
casual,March,2,18
casual,March,3,17
casual,March,4,19
casual,March,5,9
casual,March,6,7
casual,March,7,24
casual,May,1,287
casual,May,2,193
casual,May,3,119
casual,May,4,178
casual,May,5,146
casual,May,6,232
casual,May,7,553
casual,November,1,2809
casual,November,2,2383
casual,November,3,2047
casual,November,4,1899
casual,November,5,2289
casual,November,6,2790
casual,November,7,3539
casual,October,1,725
casual,October,2,460
casual,October,3,703
casual,October,4,668
casual,October,5,994
casual,October,6,1185
casual,October,7,1557
casual,September,1,3488
casual,September,2,2487
casual,September,3,2466
casual,September,4,3182
casual,September,5,2469
casual,September,6,3315
casual,September,7,3740
member,August,1,3
member,August,2,1
member,August,3,6
member,August,4,4
member,August,5,3
member,August,6,5
member,August,7,6
member,December,1,597
member,December,2,759
member,December,3,935
member,December,4,905
member,December,5,872
member,December,6,671
member,December,7,572
member,February,1,75
member,February,2,76
member,February,3,92
member,February,4,101
member,February,5,102
member,February,6,115
member,February,7,125
member,January,1,103
member,January,2,163
member,January,3,157
member,January,4,172
member,January,5,184
member,January,6,188
member,January,7,132
member,July,1,690
member,July,2,818
member,July,3,844
member,July,4,1002
member,July,5,1129
member,July,6,1091
member,July,7,854
member,June,1,841
member,June,2,553
member,June,3,650
member,June,4,651
member,June,5,813
member,June,6,651
member,June,7,855
member,March,1,38
member,March,2,38
member,March,3,38
member,March,4,47
member,March,5,36
member,March,6,33
member,March,7,41
member,May,1,277
member,May,2,339
member,May,3,281
member,May,4,443
member,May,5,382
member,May,6,513
member,May,7,625
member,November,1,26
member,November,2,50
member,November,3,46
member,November,4,52
member,November,5,44
member,November,6,42
member,November,7,42
member,October,1,5
member,October,2,4
member,October,3,8
member,October,4,11
member,October,5,9
member,October,6,23
member,October,7,12
member,September,1,34
member,September,2,23
member,September,3,39
member,September,4,49
member,September,5,50
member,September,6,35
member,September,7,27
