"member_casual","rideable_type","day_of_week","avgridelength","rideskinds"
casual,classic_bike,1,0.03221419767111608,150
casual,docked_bike,1,0.03402972453764736,2068
casual,electric_bike,1,0.017232867737263007,7753
casual,classic_bike,2,0.013745039727001888,98
casual,docked_bike,2,0.05110321941412975,1126
casual,electric_bike,2,0.014195759892935885,5932
casual,classic_bike,3,0.017495735990968042,95
casual,docked_bike,3,-0.03512018282190145,1177
casual,electric_bike,3,-0.004409909479770782,5800
casual,classic_bike,4,0.01742254281582843,91
casual,docked_bike,4,0.03199372553735483,1268
casual,electric_bike,4,0.013083137413906851,6333
casual,classic_bike,5,0.01958055098349667,104
casual,docked_bike,5,0.050537407825575,1490
casual,electric_bike,5,0.013498148643927265,6354
casual,classic_bike,6,0.016451599362136967,110
casual,docked_bike,6,0.029049776260320532,1653
casual,electric_bike,6,0.013760677192308219,7859
casual,classic_bike,7,0.03907986114032477,164
casual,docked_bike,7,0.0341026212375834,2496
casual,electric_bike,7,0.017506596281606765,9462
member,classic_bike,1,0.010656127051946303,499
member,docked_bike,1,0.014594881839704954,1813
member,electric_bike,1,0.008989647764930117,377
member,classic_bike,2,0.008253915670115533,629
member,docked_bike,2,0.012884247086329398,1711
member,electric_bike,2,0.00801509415102997,484
member,classic_bike,3,0.00911464301785112,582
member,docked_bike,3,-0.11310557196800881,1917
member,electric_bike,3,-0.2572000458635565,597
member,classic_bike,4,0.00824087290889029,613
member,docked_bike,4,0.012807250038694205,2218
member,electric_bike,4,0.0081886191972312,606
member,classic_bike,5,0.009776093305387635,628
member,docked_bike,5,0.0134737281710136,2423
member,electric_bike,5,0.007988534999937067,573
member,classic_bike,6,0.009318660578265307,567
member,docked_bike,6,0.013746276857478427,2262
member,electric_bike,6,0.007872328090218119,538
member,classic_bike,7,0.0101557439239123,526
member,docked_bike,7,0.014512917760673769,2339
member,electric_bike,7,0.007940222346879753,426
